ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Year,Temp_Bin,Humidity_Bin
A-6200167,Source1,2,2021-10-29 17:41:25,2021-10-29 18:50:04,42.980711,-78.910205,42.964789,-78.921353,1.236,Stationary traffic on Niagara Trwy S - I-190 S from I-290/Exit 16 (I-190) to NY-266/River Rd (I-190) due to accident.,I-190 S,Tonawanda,Erie,NY,14150,US,US/Eastern,KBUF,2021-10-29 17:29:00,49.0,45.0,83.0,28.95,2.0,ENE,10.0,0.15,Heavy Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021,"(39.0, 56.0]","(66.0, 84.0]"
A-988409,Source2,3,2021-06-27 10:39:12,2021-06-27 13:08:43,43.021584,-78.974457,,,3.0299999713897705,Accident on I-190 Southbound between NY-324 Grand Island Blvd and CR-75 Whitehaven Rd.,Whitehaven Rd,Grand Island,Erie,NY,14072,US,US/Eastern,KIAG,2021-06-27 10:53:00,83.0,83.0,56.0,29.36,10.0,SW,23.0,0.0,Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021,"(71.0, 172.0]","(50.0, 66.0]"
A-2064399,Source2,3,2019-06-21 11:37:31,2019-06-21 13:40:07,41.102024,-73.99295,,,0.0,Left lane blocked due to accident on I-87 - NYS Thruway Southbound before Exit 13 Palisades Interstate Pkwy.,I-287 W,Nanuet,Rockland,NY,10954,US,US/Eastern,KHPN,2019-06-21 11:56:00,67.0,67.0,81.0,29.13,10.0,NNW,20.0,0.0,Light Drizzle,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,"(56.0, 71.0]","(66.0, 84.0]"
A-4305654,Source1,4,2022-03-12 23:03:00,2022-03-13 01:07:58,40.779766,-73.661731,40.773185,-73.67934,1.027,Incident on I-495 WB near SEARINGTOWN RD Road closed. Take alternate route.,Searingtown Rd,Manhasset,Nassau,NY,11030,US,US/Eastern,KLGA,2022-03-12 22:51:00,25.0,8.0,41.0,29.69,10.0,WNW,30.0,0.0,Mostly Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2022,"(-19.001, 39.0]","(0.999, 50.0]"
A-5515389,Source1,2,2021-12-02 15:45:13,2021-12-02 16:05:13,43.206079,-77.67183299999998,43.207297,-77.679137,0.377,Stationary traffic on NY-104 from CR-150/Mount Read Blvd (W Ridge Rd/NY-104) to CR-136/Long Pond Rd (W Ridge Rd/NY-104) due to accident., W Ridge Rd,Rochester,Monroe,NY,14615-2510,US,US/Eastern,KROC,2021-12-02 15:45:00,46.0,38.0,79.0,28.91,4.0,WNW,24.0,0.02,Light Sleet / Windy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2021,"(39.0, 56.0]","(66.0, 84.0]"
A-588934,Source2,3,2022-06-20 07:55:54,2022-06-20 08:40:15,41.355148,-74.678589,,,0.0,One lane blocked due to crash on I-84 Eastbound at Exit 1 US-6.,,Port Jervis,Orange,NY,12771,US,US/Eastern,KFWN,2022-06-20 07:53:00,56.0,56.0,75.0,29.71,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2022,"(39.0, 56.0]","(66.0, 84.0]"
A-205485,Source2,3,2016-11-15 14:48:59,2016-11-15 15:33:49,41.116394,-74.113045,,,0.01,Accident on I-87 I-287 Northbound around Exit 14B County Hwy-89 Airmont Rd.,I-87 S,Suffern,Rockland,NY,10901,US,US/Eastern,KCDW,2016-11-15 14:51:00,51.8,,76.0,29.76,10.0,NW,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,"(39.0, 56.0]","(66.0, 84.0]"
A-514099,Source2,2,2022-09-07 09:37:01,2022-09-07 10:06:30,40.771069,-73.279922,,,0.0,Left lane blocked due to crash on Sagtikos Pkwy Southbound at Exit S3 Pine Aire Dr.,Sagtikos Pkwy,Bay Shore,Suffolk,NY,11706,US,US/Eastern,KISP,2022-09-07 09:56:00,68.0,68.0,84.0,29.9,6.0,NE,16.0,0.0,Light Drizzle,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2022,"(56.0, 71.0]","(66.0, 84.0]"
A-201598,Source2,2,2017-01-24 15:36:10,2017-01-24 16:20:54,40.866863,-73.93195300000002,,,0.01,Two lanes blocked due to accident on Henry Hudson Pkwy Southbound at Exit 17 Riverside Dr.,Henry Hudson Pkwy N,New York,New York,NY,10034,US,US/Eastern,KLGA,2017-01-24 15:51:00,39.0,28.8,82.0,29.34,5.0,NNW,21.9,0.01,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,"(-19.001, 39.0]","(66.0, 84.0]"
A-3787086,Source1,4,2022-01-05 07:53:46,2022-01-05 09:26:22,40.718832,-73.826305,40.718024,-73.826339,0.056,Incident on I-678 SB near UNION TPKE Road closed. Take alternate route.,Van Wyck Expy S,Flushing,Queens,NY,11367,US,US/Eastern,KLGA,2022-01-05 07:51:00,36.0,36.0,82.0,30.02,3.0,S,3.0,0.05,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2022,"(-19.001, 39.0]","(66.0, 84.0]"
A-7742594,Source1,3,2019-06-25 15:34:07,2019-06-25 16:02:47,42.90372,-78.84577,42.90732,-78.84383000000003,0.267,At Humboldt Pky/Utica St - Accident. Two lanes blocked. Roadway reduced to 1 lane.,Kensington Expy E,Buffalo,Erie,NY,14211,US,US/Eastern,KBUF,2019-06-25 15:54:00,70.0,70.0,68.0,29.14,10.0,SW,22.0,0.0,Partly Cloudy / Windy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2019,"(56.0, 71.0]","(66.0, 84.0]"
A-4544910,Source1,2,2022-07-19 18:01:16,2022-07-19 19:49:37.000000000,40.923672,-73.824258,40.927415,-73.83858599999998,0.7909999999999999,Incident on CROSS COUNTY PKWY near CROSS COUNTY PKWY Drive with caution.,Cross County Pkwy W,Mount Vernon,Westchester,NY,10552,US,US/Eastern,KLGA,2022-07-19 17:51:00,92.0,92.0,35.0,29.71,10.0,W,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2022,"(71.0, 172.0]","(0.999, 50.0]"
A-6508166,Source1,2,2021-02-01 15:02:03,2021-02-01 18:00:54,41.535991,-74.076014,41.574261,-74.084744,2.682,Crash on I-87 - NYS Thruway southbound at After Exit 17 (I-87) - Newburgh (I-84 - Rte 17K) starting 7:02 AM 02/01/2021 [CARS CAD-210320064],I-87 N,Newburgh,Orange,NY,12550,US,US/Eastern,KSWF,2021-02-01 14:45:00,25.0,12.0,100.0,29.31,0.12,NNE,16.0,0.0,Blowing Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021,"(-19.001, 39.0]","(84.0, 100.0]"
A-1086909,Source2,3,2021-04-11 14:58:25,2021-04-11 15:42:54,40.703773,-73.81707800000002,,,0.0,Right lane blocked due to accident on I-678 Southbound at Exits 6 8 Van Wyck Expy.,Van Wyck Expy S,Richmond Hill,Queens,NY,11418,US,US/Eastern,KJFK,2021-04-11 14:51:00,55.0,55.0,93.0,29.58,3.0,E,22.0,0.05,Light Rain / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021,"(39.0, 56.0]","(84.0, 100.0]"
A-4298372,Source1,4,2022-03-19 17:15:00,2022-03-19 18:48:15,42.221956,-76.431595,42.221862,-76.430735,0.044,Incident on NY-96 EB near TALLOW HILL RD Expect delays., Candor Rd,Spencer,Tioga,NY,14883-9522,US,US/Eastern,KITH,2022-03-19 17:16:00,59.0,59.0,88.0,28.46,8.0,CALM,0.0,0.03,T-Storm,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2022,"(56.0, 71.0]","(84.0, 100.0]"
A-6629611,Source1,2,2020-10-16 12:00:00,2020-10-16 17:01:00,40.738662,-73.81036800000003,40.743314,-73.833546,1.255,Slow traffic on I-495 from Utopia Pkwy/Exit 25 (I-495) to I-678/Exit 22 (I-495) due to accident.,Long Island Expy W,Flushing,Queens,NY,11367,US,US/Eastern,KLGA,2020-10-16 11:51:00,56.0,56.0,84.0,30.06,2.0,NNW,6.0,0.3,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2020,"(39.0, 56.0]","(66.0, 84.0]"
A-7052020,Source1,1,2020-06-23 21:00:35,2020-06-23 21:15:35,40.73117,-73.23608,40.73117,-73.23608,0.0,At RT-27A/E Main St/E Montauk Hwy - Accident., Brentwood Rd,Bay Shore,Suffolk,NY,11706,US,US/Eastern,KISP,2020-06-23 20:56:00,73.0,73.0,90.0,29.63,10.0,S,9.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2020,"(71.0, 172.0]","(84.0, 100.0]"
A-1215167,Source2,3,2020-12-24 06:40:42,2020-12-24 08:52:01,42.92696,-78.898422,,,2.2300000190734863,Entry ramp to NY-198 Eastbound at Exit 11 from I-190 Northbound closed due to accident.,I-190 N,Buffalo,Erie,NY,14213,US,US/Eastern,KBUF,2020-12-24 06:54:00,52.0,52.0,59.0,28.91,10.0,S,25.0,0.0,Light Rain / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2020,"(39.0, 56.0]","(50.0, 66.0]"
A-3499361,Source1,2,2016-06-23 14:05:56,2016-06-23 20:05:56,42.7537,-73.9332,42.75133,-73.92855,0.287,At I-890/Exit 25 - Accident.,I-90 E,Schenectady,Albany,NY,12303,US,US/Eastern,KALB,2016-06-23 13:51:00,80.1,,36.0,29.83,10.0,Variable,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,"(71.0, 172.0]","(0.999, 50.0]"
A-2399703,Source2,3,2018-12-16 10:55:12,2018-12-16 11:39:49,42.770943,-73.926743,,,0.0,Right hand shoulder blocked due to accident on I-890 Westbound at Exit 8 CR-48 High Bridge Rd.,I-890 E,Schenectady,Schenectady,NY,12303,US,US/Eastern,KALB,2018-12-16 10:58:00,34.0,29.8,79.0,30.1,7.0,NNW,4.6,0.01,Light Ice Pellets,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2018,"(-19.001, 39.0]","(66.0, 84.0]"
A-680888,Source2,2,2022-03-11 06:51:59,2022-03-11 07:20:42,42.686604,-73.805115,,,0.0,Right hand shoulder blocked due to crash on I-90 Westbound at exit 4 NY-85.,I-90 E,Albany,Albany,NY,12205,US,US/Eastern,KALB,2022-03-11 06:51:00,24.0,24.0,91.0,29.78,2.0,CALM,0.0,0.0,Mist,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2022,"(-19.001, 39.0]","(84.0, 100.0]"
A-1004909,Source2,2,2021-06-14 04:07:58,2021-06-14 11:44:32,42.694061,-73.83644100000002,,,0.3499999940395355,Entry ramp to I-87 Northbound from I-90 Eastbound lane blocked due to accident.,I-87 N,Albany,Albany,NY,12205,US,US/Eastern,KALB,2021-06-14 03:51:00,63.0,63.0,84.0,29.51,10.0,SSE,8.0,0.0,Thunder,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2021,"(56.0, 71.0]","(66.0, 84.0]"
A-7670480,Source1,4,2017-10-12 02:30:22,2017-10-12 08:30:22,42.74424000000001,-76.1378,42.852629,-76.1201,7.542999999999998,Closed between RT-281/Exit 13 and US-20/Exit 15 - Road closed due to accident.,I-81 N,Preble,Cortland,NY,13141,US,US/Eastern,KN03,2017-10-12 02:35:00,48.2,,100.0,30.26,10.0,NE,9.2,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2017,"(39.0, 56.0]","(84.0, 100.0]"
A-1179252,Source2,4,2021-01-26 16:26:18,2021-01-26 19:40:36,41.948315,-74.026337,,,23.979999542236328,One lane blocked due to accident on I-87 Northbound from Exit 18 NY-299 Main St to I-87 Exit 19.,I-87 N,Kingston,Ulster,NY,12401,US,US/Eastern,KPOU,2021-01-26 16:37:00,28.0,23.0,85.0,29.72,2.0,NNE,5.0,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021,"(-19.001, 39.0]","(84.0, 100.0]"
A-1806506,Source2,2,2019-11-08 11:19:15,2019-11-08 12:20:15,41.012051,-73.850548,,,0.0,Left lane blocked due to accident on Saw Mill Pkwy Southbound at Exit 17 Ashford Ave.,Saw Mill River Pkwy N,Dobbs Ferry,Westchester,NY,10522,US,US/Eastern,KHPN,2019-11-08 10:56:00,37.0,26.0,42.0,29.64,10.0,NW,23.0,0.0,Partly Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,"(-19.001, 39.0]","(0.999, 50.0]"
A-1645788,Source2,2,2020-02-13 11:55:35,2020-02-13 12:25:16,41.011944,-73.847923,,,0.0,One lane blocked due to accident on NY-9A Saw Mill River Rd Southbound before Ashford Ave.,Ashford Ave,Ardsley,Westchester,NY,10502-2118,US,US/Eastern,KHPN,2020-02-13 11:56:00,37.0,37.0,100.0,29.16,0.0,CALM,0.0,0.0,Heavy Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2020,"(-19.001, 39.0]","(84.0, 100.0]"
A-6837021,Source1,4,2020-09-26 11:27:48,2020-09-26 14:33:05,42.682659,-73.721948,42.682827,-73.721824,0.013,Incident on I-787 NB near NY-32 Road closed. Take alternate route.,I-787 N,Albany,Albany,NY,12204,US,US/Eastern,KALB,2020-09-26 11:17:00,64.0,64.0,87.0,29.78,5.0,SSE,10.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2020,"(56.0, 71.0]","(84.0, 100.0]"
A-205003,Source2,3,2016-11-12 18:03:58,2016-11-12 19:03:38,40.741482,-73.898178,,,0.01,Left lane blocked due to accident on I-278 Queens Midtown Expy Westbound at Exit 39W NY-25 Queens Blvd.,Brooklyn Queens Expy,Woodside,Queens,NY,11377,US,US/Eastern,KLGA,2016-11-12 17:51:00,51.1,,29.0,30.2,10.0,WSW,11.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016,"(39.0, 56.0]","(0.999, 50.0]"
A-2269407,Source2,2,2019-02-07 04:47:31,2019-02-07 05:19:00,43.058552,-77.593498,,,0.0,Accident on Dikeman Rd at CR-92 Pinnacle Rd.,Pinnacle Rd,Pittsford,Monroe,NY,14534-2662,US,US/Eastern,KROC,2019-02-07 04:49:00,28.4,21.2,100.0,30.06,0.8,NE,6.9,0.0,Light Freezing Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,"(-19.001, 39.0]","(84.0, 100.0]"
A-3463466,Source1,2,2016-10-21 19:32:30,2016-10-22 01:32:30,40.617534,-74.160775,40.61966,-74.16478000000002,0.256,At South Ave/NB Exit 6/SB Exit 7 - Accident.,NY-440 S,Staten Island,Richmond,NY,10314,US,US/Eastern,KLDJ,2016-10-21 19:35:00,67.1,,89.0,29.49,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016,"(56.0, 71.0]","(84.0, 100.0]"
A-3325586,Source2,2,2017-09-22 10:14:28,2017-09-22 10:43:50,43.115974,-76.185265,,,0.0,Accident on County Hwy-45 Henry Clay Blvd at Clayton Manor Dr.,Clayton Manor Dr,Liverpool,Onondaga,NY,13088-5360,US,US/Eastern,KSYR,2017-09-22 10:28:00,62.1,,100.0,30.14,1.5,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,"(56.0, 71.0]","(84.0, 100.0]"
A-1147140,Source2,3,2021-02-18 10:41:52,2021-02-18 11:11:16,40.784607,-73.647362,,,0.8700000047683716,Right lane blocked due to accident on I-495 Eastbound between Exit 36 - Searingtown Road and Exit 37 Willis Avenue.,S Service Rd,Roslyn Heights,Nassau,NY,11577-2101,US,US/Eastern,KLGA,2021-02-18 10:39:00,26.0,15.0,84.0,30.4,0.5,ENE,13.0,0.01,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021,"(-19.001, 39.0]","(66.0, 84.0]"
A-3955767,Source1,2,2023-01-01 01:34:30,2023-01-01 02:36:00,40.954969,-73.79915799999998,40.946328,-73.799184,0.597,Slow traffic on Hutchinson River Pkwy S from Wilmot Rd/Exit 19 (Hutchinson River Pkwy) to Webster Ave/Exit 16 (Hutchinson River Pkwy) due to accident.,Hutchinson River Pkwy S,New Rochelle,Westchester,NY,10804,US,US/Eastern,KHPN,2023-01-01 01:56:00,50.0,50.0,96.0,29.25,10.0,W,6.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2023,"(39.0, 56.0]","(84.0, 100.0]"
A-3149486,Source2,3,2017-12-25 15:38:01,2017-12-25 16:37:45,42.667244,-73.73311600000002,,,0.0,Lane blocked due to accident on I-90 Eastbound at Exit 6A I-787.,I-787 N,Albany,Albany,NY,12204,US,US/Eastern,KALB,2017-12-25 15:28:00,28.9,14.0,45.0,29.85,10.0,West,27.6,,Squalls,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2017,"(-19.001, 39.0]","(0.999, 50.0]"
A-4556154,Source1,2,2022-07-21 14:58:06,2022-07-21 20:19:43.000000000,40.651556,-74.010427,40.663301,-73.998205,1.034,Incident on I-278 near I-278 Drive with caution.,Brooklyn Queens Expy,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2022-07-21 14:51:00,79.0,79.0,90.0,29.55,6.0,VAR,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2022,"(71.0, 172.0]","(84.0, 100.0]"
A-721040,Source2,3,2022-02-04 04:24:55,2022-02-04 05:50:36,42.108391,-75.85701800000002,,,0.0,Left lane blocked due to accident on I-81 Northbound after Windy Hill Rd.,I-81,Binghamton,Broome,NY,13904,US,US/Eastern,KBGM,2022-02-04 04:27:00,18.0,4.0,92.0,28.2,1.0,NNW,15.0,0.01,N/A Precipitation,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2022,"(-19.001, 39.0]","(84.0, 100.0]"
A-197732,Source2,3,2016-12-23 16:26:18,2016-12-23 17:11:07,41.044811,-73.790459,,,0.01,Accident on I-287 Cross Westchester Expy Eastbound at Exit 5 NY-100 Tarrytown Rd.,Hillside Ave,White Plains,Westchester,NY,10603,US,US/Eastern,KHPN,2016-12-23 15:56:00,44.1,42.5,40.0,30.39,10.0,WSW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,"(39.0, 56.0]","(0.999, 50.0]"
A-2630272,Source2,3,2018-08-07 19:25:07,2018-08-07 19:54:49,41.079632,-73.921959,,,0.0,Accident on I-87 I-287 Northbound at Exit 10 US-9W.,Route 9W S,Nyack,Rockland,NY,10960,US,US/Eastern,KHPN,2018-08-07 19:06:00,73.0,,93.0,29.92,10.0,Variable,3.5,,Thunderstorm,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2018,"(71.0, 172.0]","(84.0, 100.0]"
A-5729238,Source1,2,2021-11-19 09:15:00,2021-11-19 11:02:45,41.389522,-74.317971,41.390596,-74.32021999999998,0.138,Incident on NY-17 WB near SOUTH ST Left lane blocked.,NY-17 W,Goshen,Orange,NY,10924,US,US/Eastern,KMGJ,2021-11-19 08:54:00,39.0,29.0,57.0,29.77,10.0,WNW,20.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021,"(-19.001, 39.0]","(50.0, 66.0]"
A-5645736,Source1,2,2021-09-01 21:04:30,2021-09-01 23:56:00,41.101083,-73.972516,41.104078,-74.01889200000002,2.423,Slow traffic on New York State Trwy N - I-87 N - I-287 W from NY-303/Exit 12 (I-287/I-87) to NY-59/Exit 14 (I-287/I-87) due to accident.,I-287 W,West Nyack,Rockland,NY,10994,US,US/Eastern,KHPN,2021-09-01 20:56:00,64.0,64.0,96.0,29.11,1.0,NE,17.0,0.85,Heavy T-Storm,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2021,"(56.0, 71.0]","(84.0, 100.0]"
A-5655937,Source1,2,2021-06-17 20:11:00,2021-06-18 00:17:14,43.142228,-77.648016,43.139665,-77.648045,0.177,Incident on POST AVE near ARNETT BLVD Expect long delays., Arnett Blvd,Rochester,Monroe,NY,14619-1104,US,US/Eastern,KROC,2021-06-17 20:17:00,68.0,68.0,31.0,29.37,1.0,SW,7.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021,"(56.0, 71.0]","(0.999, 50.0]"
A-711979,Source2,3,2022-02-13 01:36:25,2022-02-13 02:05:56,40.68298,-73.80592299999998,,,0.0,Two lanes blocked due to crash on I-678 Northbound at Exit 3 Van Wyck Expy.,Van Wyck Expy S,South Ozone Park,Queens,NY,11420,US,US/Eastern,KJFK,2022-02-13 01:45:00,41.0,35.0,53.0,30.12,10.0,N,9.0,0.0,Wintry Mix,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2022,"(39.0, 56.0]","(50.0, 66.0]"
